iter	Passed	Remaining
0	188	188307
1	189	94660
2	190	63432
3	192	47829
4	193	38478
5	194	32194
6	195	27708
7	196	24338
8	197	21727
9	198	19647
10	199	17937
11	200	16506
12	201	15306
13	202	14265
14	203	13359
15	204	12575
16	205	11879
17	206	11264
18	207	10717
19	208	10220
20	209	9767
21	210	9366
22	211	8988
23	212	8644
24	213	8327
25	214	8038
26	215	7773
27	216	7524
28	217	7296
29	218	7080
30	220	6876
31	220	6680
32	221	6497
33	222	6327
34	223	6167
35	224	6013
36	225	5866
37	226	5728
38	227	5602
39	228	5481
40	229	5367
41	230	5259
42	231	5153
43	232	5056
44	233	4961
45	234	4869
46	235	4783
47	236	4699
48	238	4619
49	238	4540
50	239	4464
51	240	4390
52	241	4319
53	242	4250
54	243	4187
55	244	4126
56	245	4069
57	247	4013
58	247	3955
59	248	3898
60	249	3843
61	250	3789
62	251	3738
63	252	3689
64	253	3643
65	254	3597
66	255	3551
67	255	3502
68	256	3460
69	257	3420
70	258	3380
71	259	3343
72	260	3307
73	261	3269
74	262	3232
75	262	3196
76	263	3161
77	264	3126
78	265	3092
79	266	3059
80	266	3027
81	267	2996
82	268	2966
83	269	2936
84	269	2905
85	270	2877
86	271	2846
87	272	2820
88	273	2798
89	274	2777
90	276	2758
91	277	2733
92	278	2713
93	279	2690
94	280	2668
95	281	2648
96	282	2629
97	283	2609
98	284	2589
99	285	2571
100	286	2551
101	287	2528
102	288	2511
103	289	2494
104	290	2476
105	291	2458
106	292	2441
107	293	2424
108	294	2406
109	295	2389
110	296	2372
111	297	2357
112	298	2340
113	299	2325
114	300	2309
115	301	2294
116	302	2280
117	303	2267
118	304	2253
119	305	2240
120	306	2227
121	307	2212
122	307	2195
123	309	2184
124	310	2170
125	311	2158
126	312	2146
127	312	2131
128	313	2119
129	314	2107
130	316	2101
131	318	2091
132	319	2083
133	320	2072
134	322	2063
135	323	2053
136	324	2042
137	325	2031
138	326	2020
139	327	2009
140	328	1998
141	329	1989
142	330	1979
143	331	1969
144	332	1961
145	333	1951
146	334	1942
147	336	1935
148	337	1927
149	338	1918
150	339	1909
151	340	1900
152	341	1891
153	342	1883
154	344	1875
155	345	1866
156	346	1859
157	347	1850
158	348	1845
159	350	1838
160	351	1829
161	353	1826
162	354	1820
163	355	1812
164	357	1806
165	357	1798
166	359	1790
167	359	1782
168	360	1774
169	361	1766
170	362	1758
171	364	1753
172	365	1746
173	366	1741
174	367	1734
175	368	1727
176	369	1719
177	370	1712
178	371	1704
179	372	1697
180	373	1688
181	374	1681
182	375	1674
183	376	1667
184	376	1660
185	378	1654
186	379	1649
187	380	1643
188	381	1639
189	382	1632
190	383	1625
191	384	1618
192	385	1612
193	386	1606
194	387	1599
195	388	1593
196	389	1586
197	390	1581
198	391	1574
199	392	1569
200	393	1565
201	394	1559
202	396	1555
203	397	1550
204	398	1544
205	399	1539
206	400	1533
207	401	1528
208	402	1522
209	403	1517
210	404	1511
211	405	1506
212	406	1501
213	407	1495
214	408	1492
215	409	1487
216	411	1485
217	412	1480
218	413	1475
219	414	1470
220	415	1465
221	416	1460
222	417	1454
223	418	1450
