iter	Passed	Remaining
0	135	135579
1	137	68545
2	138	46182
3	140	34970
4	141	28255
5	143	23766
6	145	20577
7	146	18191
8	148	16328
9	149	14833
10	151	13615
11	152	12592
12	154	11738
13	156	10999
14	157	10358
15	159	9803
16	161	9320
17	163	8923
18	165	8555
19	167	8227
20	169	7915
21	171	7626
22	173	7355
23	175	7117
24	176	6892
25	178	6688
26	180	6505
27	182	6326
28	183	6159
29	185	5998
30	187	5849
31	188	5709
32	190	5578
33	192	5456
34	193	5341
35	195	5237
36	197	5131
37	198	5034
38	200	4937
39	201	4846
40	203	4759
41	205	4677
42	206	4600
43	208	4526
44	209	4454
45	211	4385
46	213	4319
47	214	4254
48	216	4193
49	217	4136
50	219	4079
51	220	4025
52	222	3978
53	224	3931
54	226	3883
55	227	3838
56	229	3793
57	231	3752
58	232	3710
59	234	3669
60	236	3633
61	237	3597
62	239	3560
63	241	3526
64	242	3492
65	244	3461
66	246	3427
67	247	3396
68	249	3365
69	251	3334
70	252	3305
71	254	3277
72	255	3249
73	257	3222
74	259	3196
75	260	3170
76	262	3145
77	264	3120
78	266	3102
79	267	3080
80	269	3057
81	271	3037
82	272	3007
83	273	2986
84	275	2966
85	277	2947
86	278	2926
87	280	2906
88	282	2887
89	283	2871
90	285	2852
91	287	2834
92	288	2816
93	290	2798
94	291	2781
95	293	2765
96	295	2749
97	296	2732
98	298	2716
99	300	2701
100	301	2685
101	303	2670
102	304	2655
103	306	2641
104	308	2626
105	309	2612
106	311	2598
107	312	2584
108	314	2572
109	316	2559
110	317	2546
111	319	2533
112	321	2522
113	323	2510
114	324	2497
115	326	2485
116	327	2471
117	329	2459
118	330	2448
119	332	2436
120	333	2425
121	335	2412
122	336	2401
123	338	2390
124	339	2379
125	341	2369
126	342	2357
127	344	2346
128	346	2336
129	347	2326
130	349	2316
131	350	2307
132	352	2297
133	354	2287
134	355	2278
135	357	2269
136	358	2261
137	360	2252
138	362	2244
139	364	2236
140	365	2228
141	366	2216
142	368	2208
143	370	2202
144	372	2194
145	373	2187
146	375	2181
147	377	2174
148	379	2165
149	381	2159
150	382	2151
151	384	2143
152	385	2136
153	387	2128
154	389	2121
155	390	2115
156	392	2107
157	394	2100
158	395	2093
159	397	2087
160	398	2077
161	400	2070
162	401	2063
163	403	2057
164	405	2051
165	406	2044
166	408	2037
167	410	2031
168	411	2025
169	413	2018
170	414	2011
171	416	2005
172	418	1999
173	420	1994
174	421	1988
175	423	1982
176	425	1976
177	426	1970
178	428	1964
179	429	1958
180	431	1952
181	433	1947
182	434	1941
183	436	1935
184	438	1929
185	439	1924
186	441	1918
187	443	1913
188	444	1908
189	446	1902
190	448	1897
191	449	1892
192	451	1886
193	452	1880
194	454	1875
195	456	1871
196	457	1865
197	459	1860
198	461	1855
199	462	1850
200	464	1845
201	465	1839
202	467	1835
203	469	1830
204	470	1825
205	472	1820
206	473	1815
207	475	1810
208	477	1806
209	479	1802
210	480	1798
211	482	1794
212	484	1790
213	486	1786
214	487	1781
215	489	1777
216	491	1772
217	492	1768
218	494	1763
219	496	1759
220	497	1755
221	499	1750
222	501	1746
223	502	1741
224	504	1737
225	506	1733
226	507	1729
227	509	1725
228	511	1721
229	512	1717
230	514	1712
231	516	1708
232	517	1704
233	519	1700
234	521	1696
235	522	1692
236	524	1688
237	526	1684
238	527	1680
239	529	1676
240	530	1671
241	532	1668
242	534	1664
243	536	1660
244	537	1657
245	539	1653
246	541	1650
247	542	1645
248	544	1642
249	546	1639
250	548	1636
251	549	1632
252	551	1628
253	553	1624
254	554	1621
255	556	1617
256	558	1613
257	559	1609
258	561	1606
259	563	1602
260	564	1599
261	566	1595
262	568	1591
263	569	1588
264	571	1584
265	573	1581
266	574	1578
267	576	1574
268	578	1571
269	580	1568
270	582	1565
271	584	1563
272	585	1559
273	587	1557
274	589	1553
275	591	1550
276	592	1547
277	594	1544
278	596	1541
279	597	1537
280	599	1534
281	601	1530
282	602	1527
283	604	1523
284	605	1520
285	607	1516
286	609	1513
287	610	1509
288	612	1506
289	613	1502
290	615	1499
291	617	1496
292	618	1493
293	620	1490
294	622	1486
295	623	1483
296	625	1479
297	626	1476
298	628	1473
299	630	1470
300	631	1466
301	633	1463
302	634	1460
303	636	1457
304	638	1454
305	639	1450
306	641	1447
307	642	1444
308	644	1441
309	646	1438
310	647	1435
311	649	1431
312	650	1428
313	652	1425
314	654	1422
315	655	1419
316	657	1416
317	659	1414
318	660	1410
319	662	1407
320	664	1404
321	665	1401
322	667	1398
323	668	1395
324	670	1392
325	672	1389
